No,Sub Portfolio Name,Floor Name,Lot No,Net Area (Lot Master),NLA,Rental Base,Rental Rate,Service Charge Rate,Start Date,End Date,RCD,RED,Fit Out Commenced On,Business Name,Brand Name
96,CITIMALL CIANJUR,G,G-0170,37.43,Y,Full Rental,"275,000.00","110,000.00",06/Sep/2018,21/Sep/2021,22/Sep/2018,21/Sep/2021,06/Sep/2018,ALEXIS,ALEXIS
97,CITIMALL CIANJUR,G,G-0180,685.35,Y,Full Rental,"75,000.00","50,000.00",18/Dec/2018,17/Dec/2023,18/Dec/2018,17/Dec/2023,18/Dec/2018,ELECTRONIC CITY,ELECTRONIC CITY
98,CITIMALL CIANJUR,G,G-0185,0.00,Y,,0.00,0.00,,,,,,,
99,CITIMALL CIANJUR,G,G-0190,1.20,Y,Full Rental,"2,569,444.44",0.00,01/Jan/2018,31/Dec/2020,01/Jan/2018,31/Dec/2020,01/Jan/2018,ATM BANK MEGA,ATM BANK MEGA
100,CITIMALL CIANJUR,G,G-0200,1.50,Y,Full Rental,"3,125,000.00",0.00,01/Dec/2016,14/Dec/2021,01/Dec/2016,30/Nov/2021,01/Dec/2016,ATM CIMB,BANK CIMB NIAGA
101,CITIMALL CIANJUR,G,G-0210,1.00,Y,,0.00,0.00,,,,,,,
102,CITIMALL CIANJUR,G,G-0220,1.00,Y,Full Rental,"6,083,333.33",0.00,01/Nov/2019,31/Oct/2020,01/Nov/2019,31/Oct/2020,01/Nov/2019,ATM BRI,BANK BRI
103,CITIMALL CIANJUR,G,G-0230,1.50,Y,Full Rental,"2,979,166.66","99,000.00",09/Sep/2019,08/Sep/2022,09/Sep/2019,08/Sep/2022,09/Sep/2019,BANK OCBC NISP,BANK OCBC NISP
104,CITIMALL CIANJUR,G,G-0240,1.50,Y,,0.00,0.00,,,,,,,
105,CITIMALL CIANJUR,G,G-0250,1.50,Y,Full Rental,"4,074,074.04",0.00,01/Feb/2020,31/Jan/2023,01/Feb/2020,31/Jan/2023,01/Feb/2020,BANK BJB,BANK BJB
106,CITIMALL CIANJUR,G,G-0260,1.00,Y,Full Rental,"5,041,666.66",0.00,01/Jul/2020,30/Jun/2021,01/Jul/2020,30/Jun/2021,01/Jul/2020,ATM BNI,BANK BNI
107,CITIMALL CIANJUR,G,G-0270,92.00,Y,Full Rental,"83,152.17",0.00,01/Sep/2020,30/Sep/2020,01/Sep/2020,30/Sep/2020,01/Sep/2020,SINAR JAYA MEUBEL,SINAR JAYA MEUBEL
108,CITIMALL CIANJUR,G,G-BAM01,36.00,N,Full Rental,"113,636.36",0.00,01/Jan/2020,31/Dec/2020,01/Jan/2020,31/Dec/2020,01/Jan/2020,PENGELOLAAN TOILET,PENGELOLAAN TOILET
109,CITIMALL CIANJUR,G,G-BAM02,25.00,N,,0.00,0.00,,,,,,,
110,CITIMALL CIANJUR,G,G-BIN01,190.00,N,,0.00,0.00,,,,,,,
111,CITIMALL CIANJUR,G,G-BIN02,57.00,N,,0.00,0.00,,,,,,,
112,CITIMALL CIANJUR,G,G-BOH01,10.00,N,,0.00,0.00,,,,,,,
113,CITIMALL CIANJUR,G,G-BOH02,13.00,N,,0.00,0.00,,,,,,,
114,CITIMALL CIANJUR,G,G-BOH03,10.00,N,,0.00,0.00,,,,,,,
115,CITIMALL CIANJUR,G,G-COM,"2,506.44",N,,0.00,0.00,,,,,,,
116,CITIMALL CIANJUR,G,G-CVT01,9.00,N,,0.00,0.00,,,,,,,
117,CITIMALL CIANJUR,G,G-CVT02,11.00,N,,0.00,0.00,,,,,,,
118,CITIMALL CIANJUR,G,G-MEP01,46.00,N,,0.00,0.00,,,,,,,
119,CITIMALL CIANJUR,G,G-MEP02,13.00,N,,0.00,0.00,,,,,,,
120,CITIMALL CIANJUR,G,G-MEP03,9.00,N,,0.00,0.00,,,,,,,
121,CITIMALL CIANJUR,G,G-OFF01,0.00,N,,0.00,0.00,,,,,,,
122,CITIMALL CIANJUR,G,G-OFF02,0.00,N,,0.00,0.00,,,,,,,
123,CITIMALL CIANJUR,G,G-OFF03,0.00,N,,0.00,0.00,,,,,,,
124,CITIMALL CIANJUR,G,G-OFF04,0.00,N,,0.00,0.00,,,,,,,
125,CITIMALL CIANJUR,G,G-OFF05,0.00,N,,0.00,0.00,,,,,,,
126,CITIMALL CIANJUR,G,G-PRK01,"7,788.37",N,,0.00,0.00,,,,,,,
127,CITIMALL CIANJUR,G,G-ROD01,820.00,N,,0.00,0.00,,,,,,,
128,CITIMALL CIANJUR,RF,RF-WIR01,1.00,N,Full Rental,"6,666,666.67",0.00,01/Jun/2016,31/May/2021,01/Jun/2016,31/May/2021,01/Jun/2016,BTS TELKOMSEL,TELKOMSEL
129,CITIMALL CIANJUR,RF,RF-WIR02,1.00,N,Full Rental,"6,083,333.00",0.00,14/Aug/2015,13/Nov/2020,14/Aug/2015,13/Nov/2020,14/Aug/2015,BTS INDOSAT,INDOSAT
130,CITIMALL CIANJUR,RF,RF-WIR03,4.00,N,Full Rental,"625,000.00",0.00,17/Apr/2017,31/May/2021,17/Apr/2017,31/May/2021,17/Apr/2017,BTS INDOSAT,INDOSAT
131,TUBAN,G,G-0170,196.00,Y,,0.00,0.00,,,,,,,
132,TUBAN,1,1-0040,36.00,Y,,0.00,0.00,,,,,,,
133,TUBAN,1,1-0060,600.00,Y,Full Rental,"55,000.00",0.00,03/Jul/2020,02/Jul/2030,03/Jul/2020,02/Jul/2030,03/Jul/2020,KHU,KHU
134,TUBAN,2,2-0010,"1,961.00",Y,Full Rental,"40,000.00",0.00,03/Jul/2020,02/Jul/2030,03/Jul/2020,02/Jul/2030,03/Jul/2020,CINEMAXX,CINEMAXX
135,CITIMALL SUKABUMI,G,G-0010,"1,253.11",Y,Full Rental,"63,000.00","58,563.81",15/Dec/2015,28/Dec/2025,15/Dec/2015,14/Dec/2025,15/Dec/2015,SUPERINDO,SUPER INDO
136,CITIMALL SUKABUMI,G,G-0020,76.11,Y,Full Rental,"180,000.00","106,000.00",02/Apr/2018,04/May/2023,05/May/2018,04/May/2023,02/Apr/2018,CFC,CFC
137,CITIMALL SUKABUMI,G,G-0030,30.69,Y,Full Rental,"250,000.00","102,000.00",23/May/2019,30/May/2022,31/May/2019,30/May/2022,23/May/2019,YAYANG,YAYANG
138,CITIMALL SUKABUMI,G,G-0035,0.00,Y,,0.00,0.00,,,,,,,
139,CITIMALL SUKABUMI,G,G-0040,0.00,Y,,0.00,0.00,,,,,,,
140,CITIMALL SUKABUMI,G,G-0050,0.00,Y,,0.00,0.00,,,,,,,
141,CITIMALL SUKABUMI,G,G-0060,0.00,Y,,0.00,0.00,,,,,,,
142,CITIMALL SUKABUMI,G,G-0070,0.00,Y,,0.00,0.00,,,,,,,
143,CITIMALL SUKABUMI,G,G-0071,157.66,Y,Full Rental,"200,000.00","106,000.00",26/Mar/2019,09/Apr/2024,10/Apr/2019,09/Apr/2024,26/Mar/2019,SOLARIA,SOLARIA
144,CITIMALL SUKABUMI,G,G-0080,0.00,Y,,0.00,0.00,,,,,,,
145,CITIMALL SUKABUMI,G,G-0090,130.70,Y,Full Rental,"275,000.00","102,000.00",15/Sep/2017,14/Sep/2022,15/Sep/2017,14/Sep/2022,15/Sep/2017,BATA,SEPATU BATA
146,CITIMALL SUKABUMI,G,G-0100,35.00,Y,Full Rental,"325,000.00","102,000.00",13/Jun/2017,12/Jun/2022,13/Jun/2017,12/Jun/2022,13/Jun/2017,LIU SUNG PHIN - ZOOM & WATCH,ZOOM & WATCH
147,CITIMALL SUKABUMI,G,G-0110,115.25,Y,Full Rental,"275,000.00","106,000.00",01/Oct/2019,30/Sep/2024,01/Oct/2019,30/Sep/2024,01/Oct/2019,MOKKO FACTORY,MOKKO FACTORY
148,CITIMALL SUKABUMI,G,G-0120,191.25,Y,Combine,"53,000.00",0.00,01/Aug/2020,31/Jan/2021,01/Aug/2020,31/Jan/2021,01/Aug/2020,A&W,A&W RESTAURANT
149,CITIMALL SUKABUMI,G,G-0130,38.02,Y,Full Rental,"380,000.00","106,000.00",23/May/2020,22/May/2023,23/May/2020,22/May/2023,23/May/2020,ROTI O,ROTI O
150,CITIMALL SUKABUMI,G,G-0140,37.33,Y,Full Rental,"290,000.00","102,000.00",13/Jan/2018,12/Jan/2023,13/Jan/2018,12/Jan/2023,13/Jan/2018,PT KASOEM PIONEER OPTIK,OPTIC KASOEM
151,CITIMALL SUKABUMI,G,G-0150,130.00,Y,Full Rental,"285,000.00","89,100.00",13/Mar/2020,12/Mar/2025,13/Mar/2020,12/Mar/2025,13/Mar/2020,WATSON,WATSONS
152,CITIMALL SUKABUMI,G,G-0160,47.91,Y,Full Rental,"250,000.00","102,000.00",12/Mar/2017,11/Mar/2022,12/Mar/2017,11/Mar/2022,12/Mar/2017,OPTIK MELAWAI,OPTIK MELAWAI
153,CITIMALL SUKABUMI,G,G-0170,0.00,Y,,0.00,0.00,,,,,,,
154,CITIMALL SUKABUMI,G,G-0180,0.00,Y,,0.00,0.00,,,,,,,
155,CITIMALL SUKABUMI,G,G-0190,0.00,Y,,0.00,0.00,,,,,,,
