No,Sub Portfolio Name,Floor Cd,Floor Name,Lot No,Net Area (Lot Master),GFA,NLA,Contract Amt,Rental Base,Base Rental Rate,Rental Rate,Service Charge Rate
222,CITIMALL SUKABUMI,10,1,1-0370,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0372,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0373,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0380,35,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0381,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0382,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0383,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0390,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0400,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0410,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0420,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0450,6,Y,Y,,,,473685,0.00
222,CITIMALL SUKABUMI,20,2,2-0010,3185,Y,Y,"26,072,264,400.00",Full Rental,"45,500.00",40000,"20,630.00"
222,CITIMALL SUKABUMI,20,2,2-0020,285,Y,Y,"2,103,300,000.00",Full Rental,"123,000.00",120000,"49,280.00"
222,CITIMALL SUKABUMI,20,2,2-0030,195,Y,Y,"1,347,915,000.00",Full Rental,"115,000.00",115000,"102,000.00"
222,CITIMALL SUKABUMI,20,2,2-0040,490,Y,Y,"2,646,216,000.00",Full Rental,"90,000.00",90000,"102,000.00"
222,CITIMALL SUKABUMI,20,2,2-0050,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0060,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0070,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0080,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0085,140,Y,Y,"899,792,126.20",Full Rental,"123,461.54",120000,"49,280.00"
222,CITIMALL SUKABUMI,20,2,2-0090,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0100,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0110,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0120,27,Y,Y,"165,859,200.00",Full Rental,"104,000.00",100000,"44,000.00"
222,CITIMALL SUKABUMI,20,2,2-0130,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0140,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0150,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0155,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0160,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0165,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0170,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0175,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0180,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0190,11,Y,Y,"5,762,845.99",Full Rental,"523,895.09",523895,0.00
222,CITIMALL SUKABUMI,20,2,2-0200,11,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0210,11,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0220,11,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0230,11,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0240,11,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0250,11,Y,Y,"5,762,845.99",Full Rental,"523,895.09",523895,0.00
222,CITIMALL SUKABUMI,20,2,2-0260,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0270,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0280,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-0290,9,Y,Y,"76,363,635.60",Full Rental,"707,070.70",707071,0.00
222,CITIMALL SUKABUMI,20,2,2-TBU01,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-TBU02,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-TBU03,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,20,2,2-TBU04,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0010,374,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0015,31,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0020,418,Y,Y,,,,0,"49,681.28"
222,CITIMALL SUKABUMI,30,3,3-0030,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0031,2782,Y,Y,"15,191,467,200.00",Full Rental,"45,500.00",40000,"20,630.00"
